input,output
Who was the Egyptian pharaoh during the biblical Exodus according to tradition?,Ramses II
Who was the Polish mathematician and astronomer who proposed the heliocentric model?,Nicolaus Copernicus
Who was the Russian leader known for leading the October Revolution?,Vladimir Lenin
Which medieval English king was known for starting the Hundred Years' War?,King Edward III
Who was the Mughal emperor who expanded the empire to include nearly all of India?,Aurangzeb
Which monarch was the last Tsar of the Romanov dynasty?,Nicholas II
Who was the ruler of the Austrian Empire during the Napoleonic Wars?,Francis II
Who was the first and only female ruler of Imperial China?,Wu Zetian
Who was the Spanish king known for funding Columbus’s voyage to the New World?,King Ferdinand II
Who was the Greek god associated with war?,Ares
Who was the first ruler of the Holy Roman Empire?,Charlemagne
Which Mughal emperor was known for his patronage of the arts and construction of the Taj Mahal?,Shah Jahan
Who was the Germanic tribal leader who defeated the Romans at the Battle of the Teutoburg Forest?,Arminius
Who was the last Roman Emperor of the Western Roman Empire?,Romulus Augustulus
Which English monarch succeeded Queen Elizabeth I?,King James I
Who was the first woman to rule China as an empress regnant?,Wu Zetian
Who was the famous naval commander who won the Battle of Trafalgar?,Admiral Horatio Nelson
Which Byzantine Emperor regained territory from the Vandals and Ostrogoths?,Justinian I
Who was the King of France during Joan of Arc's campaigns?,King Charles VII
Who was the first monarch of the Tudor dynasty?,Henry VII
Who was the Mongol ruler who founded the Yuan Dynasty in China?,Kublai Khan
Who was the Holy Roman Emperor during the Thirty Years' War?,Ferdinand II
Who was the first President of the French Fifth Republic?,Charles de Gaulle
Who was the King of England during the signing of the Treaty of Paris (1783)?,King George III
Who led the Athenian navy at the Battle of Salamis?,Themistocles
Who was the Roman general who suppressed the slave revolt led by Spartacus?,Marcus Licinius Crassus
Who was the English king during the construction of Westminster Abbey?,Edward the Confessor
Which Japanese shogun established the Tokugawa shogunate?,Tokugawa Ieyasu
Who was the leader of the Zulu Kingdom during the Anglo-Zulu War?,King Cetshwayo
Who was the Russian Empress known for modernizing and expanding the empire in the 18th century?,Catherine the Great
Who was the Byzantine Emperor who lost most of Anatolia after the Battle of Manzikert?,Romanos IV Diogenes
"Which French king famously said, 'I am the state'?",Louis XIV
Who was the last Emperor of China?,Puyi
Who was the British general who surrendered to American forces at Yorktown?,Lord Cornwallis
Who was the Aztec emperor when Hernán Cortés arrived in Tenochtitlán?,Montezuma II
Who was the ruler of Florence during the Italian Renaissance known for patronizing artists like Michelangelo?,Lorenzo de' Medici
Who was the first female monarch of the Netherlands?,Queen Wilhelmina
Who was the powerful medieval king of the Holy Roman Empire known for his red beard?,Frederick I (Barbarossa)
Who was the first President of the Republic of Turkey?,Mustafa Kemal Atatürk
Who was the King of Spain during the Spanish Inquisition?,King Ferdinand II
Who was the founder of modern Singapore?,Lee Kuan Yew
Who was the emperor known for his Roman baths and significant infrastructure projects?,Caracalla
Who was the ruler of ancient Carthage during the Second Punic War?,Hannibal Barca
Who was the French king during the construction of the Sainte-Chapelle?,King Louis IX
Who was the king of Macedonia before Alexander the Great?,King Philip II
Which Byzantine general was known for reconquering North Africa and Italy?,Belisarius
Who was the founder of the Khmer Empire?,Jayavarman II
Who was the British Prime Minister during the American War of Independence?,Lord North
Who was the ruler of the Ottoman Empire during the conquest of Constantinople?,Mehmed II
Who was the first ruler of the Sikh Empire?,Maharaja Ranjit Singh
Who was the emperor known for dividing the Roman Empire into East and West?,Diocletian
Who was the king of the Visigoths who sacked Rome in 410 AD?,Alaric I
Who was the last Empress of Russia?,Alexandra Feodorovna
Who was the Ethiopian emperor who defended his country from Italian invasion?,Menelik II
Who was the first Roman emperor to officially tolerate Christianity?,Constantine the Great
Who was the king of France known for his military expeditions during the Crusades?,Louis IX
Who was the King of Portugal who initiated the Age of Discoveries?,Prince Henry the Navigator
Who is known as the 'King of Pop'?,Michael Jackson
What was The Beatles' first #1 hit in the United States?,I Want to Hold Your Hand
Who is the lead singer of the rock band Queen?,Freddie Mercury
What year was the album 'Thriller' released?,1982
Who is known for the hit song 'Shape of You'?,Ed Sheeran
What is the best-selling album of all time?,Thriller by Michael Jackson
Who won the first season of 'American Idol'?,Kelly Clarkson
Which artist sang the 2014 hit 'Happy'?,Pharrell Williams
What is the name of the lead vocalist of the band Coldplay?,Chris Martin
Who is known as the 'Queen of Pop'?,Madonna
What band released the album 'Dark Side of the Moon'?,Pink Floyd
Which artist released the song 'Blinding Lights'?,The Weeknd
What singer is known as 'The Boss'?,Bruce Springsteen
Who won Album of the Year at the 2021 Grammy Awards?,Taylor Swift for 'Folklore'
Which band released the hit song 'Smells Like Teen Spirit'?,Nirvana
What year did Elvis Presley die?,1977
Who is the youngest solo artist to achieve a #1 on the Billboard Hot 100?,Billie Eilish
Which rapper released the album 'The Marshall Mathers LP'?,Eminem
Who is known for the song 'Rolling in the Deep'?,Adele
What is Lady Gaga's real name?,Stefani Joanne Angelina Germanotta
Which band sang 'Hotel California'?,Eagles
Who released the album '25' in 2015?,Adele
Who was the first woman inducted into the Rock and Roll Hall of Fame?,Aretha Franklin
What is the stage name of the artist born as Shawn Carter?,Jay-Z
Which artist has won the most Grammy Awards?,Beyoncé
Who is the lead singer of the band U2?,Bono
What is the highest-selling single of all time?,White Christmas by Bing Crosby
Who wrote and originally performed 'Hallelujah'?,Leonard Cohen
What pop star is known for wearing a meat dress?,Lady Gaga
Who is the lead singer of The Rolling Stones?,Mick Jagger
Which singer released the album '1989'?,Taylor Swift
What was Whitney Houston's debut single?,Saving All My Love for You
Who is known as the 'Godfather of Soul'?,James Brown
Which band performed the hit 'Bohemian Rhapsody'?,Queen
What year did The Beatles break up?,1970
What singer holds the record for the most Billboard Music Awards wins?,Drake
What song by Luis Fonsi and Daddy Yankee has the most views on YouTube?,Despacito
Who was the drummer for The Beatles?,Ringo Starr
What is the name of Beyoncé's 2016 visual album?,Lemonade
Which singer's real name is Robyn Fenty?,Rihanna
Who was the first artist to be played on MTV?,The Buggles with 'Video Killed the Radio Star'
What is the name of Elton John's biographical movie?,Rocketman
Who is known for the song 'Uptown Funk'?,Mark Ronson featuring Bruno Mars
What year did Michael Jackson perform the moonwalk for the first time?,1983
Who sang the song 'Jolene'?,Dolly Parton
What is the name of the debut album by Billie Eilish?,"When We All Fall Asleep, Where Do We Go?"
Who released the song 'Firework' in 2010?,Katy Perry
What is the name of the band formed by Paul McCartney after The Beatles?,Wings
Who is known for the song 'Old Town Road'?,Lil Nas X
What is the name of the lead singer of Maroon 5?,Adam Levine
Who sang 'Like a Rolling Stone'?,Bob Dylan
What year did Beyoncé release her debut solo album 'Dangerously in Love'?,2003
Who is the lead vocalist of the band Aerosmith?,Steven Tyler
Which artist is known as 'The Piano Man'?,Billy Joel
What is the real name of the artist known as Prince?,Prince Rogers Nelson
Who performed the song 'Born to Run'?,Bruce Springsteen
What is the name of the band Dave Grohl founded after Nirvana?,Foo Fighters
Who had a hit with the song 'Uptown Girl'?,Billy Joel
What year was the Woodstock music festival held?,1969
Who released the song 'Poker Face'?,Lady Gaga
Which singer was known as the 'First Lady of Song'?,Ella Fitzgerald
Who was the first rapper to win a Pulitzer Prize?,Kendrick Lamar
What band is known for the hit song 'Sweet Child o' Mine'?,Guns N' Roses
Who is the highest-selling female artist of all time?,Madonna
What was the first video played on MTV?,Video Killed the Radio Star by The Buggles
Who performed the song 'Rocket Man'?,Elton John
Which artist released the album 'Blue' in 1971?,Joni Mitchell
Who is known as 'The King of Rock and Roll'?,Elvis Presley
What song did Whitney Houston famously cover in 1992?,I Will Always Love You
What band did Sting belong to?,The Police
Who released the song 'Rolling in the Deep'?,Adele
What year was 'Bohemian Rhapsody' by Queen released?,1975
Who released the song 'Gangnam Style'?,Psy
What band was Ozzy Osbourne the lead singer of?,Black Sabbath
What is the stage name of Marshall Mathers?,Eminem
Who sang 'Livin' on a Prayer'?,Bon Jovi
What is the real name of rapper Drake?,Aubrey Graham
What musical duo performed 'Wake Me Up Before You Go-Go'?,Wham!
Who wrote the song 'Imagine'?,John Lennon
What is the best-selling digital single of all time?,Shape of You by Ed Sheeran
Who is the youngest person to ever win a Grammy?,LeAnn Rimes
What song by Luis Fonsi and Daddy Yankee featured Justin Bieber?,Despacito
What band was known as 'The Fab Four'?,The Beatles
Who sang the song 'Hound Dog'?,Elvis Presley
What artist is known for the hit 'Purple Rain'?,Prince
Which singer released the song 'Bad Guy'?,Billie Eilish
Who performed the song 'My Way'?,Frank Sinatra
What is the name of Taylor Swift’s 2020 surprise album?,Folklore
Who released the song 'Smooth Criminal'?,Michael Jackson
What is the title of the debut album by Alicia Keys?,Songs in A Minor
Who is the lead singer of the band Red Hot Chili Peppers?,Anthony Kiedis
What year was the album 'Abbey Road' by The Beatles released?,1969
Who was the lead singer of Led Zeppelin?,Robert Plant
What artist released the hit song 'Firework'?,Katy Perry
Who is known as the 'Queen of Soul'?,Aretha Franklin
What is the name of the 2020 album by Dua Lipa?,Future Nostalgia
Who performed the hit 'Superstition'?,Stevie Wonder
What is the name of Beyoncé’s alter ego?,Sasha Fierce
What band had a hit with 'Mr. Brightside'?,The Killers
Who is the lead singer of Metallica?,James Hetfield
Who sang the song 'Toxic'?,Britney Spears
What was Elvis Presley's first #1 hit in the United States?,Heartbreak Hotel
Who is known as the 'Godfather of Punk'?,Iggy Pop
Which artist sang 'Purple Haze'?,Jimi Hendrix
Who released the song 'Rolling in the Deep'?,Adele
What band performed 'Wonderwall'?,Oasis
What is the name of the debut album by The Strokes?,Is This It
Which artist had a hit with the song 'Tutti Frutti'?,Little Richard
Who is the youngest artist to headline Coachella?,Billie Eilish
Who wrote the song 'Respect' that Aretha Franklin popularized?,Otis Redding
Which artist is known for the song 'Havana'?,Camila Cabello
"What song by Queen has the lyric 'Scaramouche, Scaramouche, will you do the Fandango'?",Bohemian Rhapsody
Who was the lead singer of the band Genesis before launching a solo career?,Phil Collins
What instrument did John Coltrane play?,Saxophone
Which artist sang 'Rolling Stone'?,Bob Dylan
What is the real name of Lady Gaga?,Stefani Joanne Angelina Germanotta
Which artist released the song 'Sunflower' for the movie 'Spider-Man: Into the Spider-Verse'?,Post Malone and Swae Lee
Who sang 'Girls Just Want to Have Fun'?,Cyndi Lauper
What year did Taylor Swift release her debut album?,2006
What artist is known for the album 'Blue'?,Joni Mitchell
Who is known as the 'Princess of Pop'?,Britney Spears
Which artist is known for 'Stairway to Heaven'?,Led Zeppelin
Who sang 'I Will Survive'?,Gloria Gaynor
What was the first Beatles song to be performed on The Ed Sullivan Show?,All My Loving
Who sang 'Sweet Caroline'?,Neil Diamond
Who performed the hit song 'Shake It Off'?,Taylor Swift
What is the name of the lead singer of Radiohead?,Thom Yorke
Which artist is known for the song 'Wrecking Ball'?,Miley Cyrus
What artist sang 'What's Love Got to Do with It'?,Tina Turner
What year did Michael Jackson release 'Billie Jean'?,1983
Which artist sang 'Rocket Man'?,Elton John
Who performed 'The Sound of Silence'?,Simon & Garfunkel
What was the name of the band David Bowie formed before his solo career?,The Spiders from Mars
"Who released the song 'Thank U, Next'?",Ariana Grande
What year did Nirvana release 'Smells Like Teen Spirit'?,1991
What is the title of the song by The Police that begins with 'Every breath you take'?,Every Breath You Take
Who sang 'Take Me to Church'?,Hozier
Who is the artist behind the 2021 hit 'Montero (Call Me By Your Name)'?,Lil Nas X
What artist is known for the song 'Someone Like You'?,Adele
Which band released the song 'Boulevard of Broken Dreams'?,Green Day
What artist is known for 'Back to Black'?,Amy Winehouse
Who sang 'I Want to Dance with Somebody'?,Whitney Houston
Which artist had a hit with 'Riptide'?,Vance Joy
Who is known for the song 'Say You Won't Let Go'?,James Arthur
What band released the song 'Creep'?,Radiohead
Who released the song 'Uptown Funk'?,Mark Ronson featuring Bruno Mars
What is the real name of rapper Nicki Minaj?,Onika Tanya Maraj
What artist sang 'Born This Way'?,Lady Gaga
Who is known for the hit song 'Africa'?,Toto
Which artist performed 'When Doves Cry'?,Prince
What artist is known for the song 'Hips Don't Lie'?,Shakira
Who was the first female artist to achieve a diamond-certified single?,Lady Gaga
Who performed the song 'Hey There Delilah'?,Plain White T's
What is the real name of the artist known as P!nk?,Alecia Beth Moore
What was the debut single of Justin Bieber?,One Time
Who is the lead singer of the band Fleetwood Mac?,Stevie Nicks
Which artist sang the 2003 hit 'In Da Club'?,50 Cent
Who released the song 'All I Want for Christmas Is You'?,Mariah Carey
What year did Whitney Houston release 'I Will Always Love You'?,1992
Who is known for the song 'Tears in Heaven'?,Eric Clapton
What band released the song 'Don't Stop Believin''?,Journey
Who is the artist behind the album 'Thriller'?,Michael Jackson
What artist sang 'Blowin' in the Wind'?,Bob Dylan
What is the name of the song that has the lyrics 'Is this the real life? Is this just fantasy?'?,Bohemian Rhapsody
Who sang 'Sweet Child o' Mine'?,Guns N' Roses
What year did Adele release 'Hello'?,2015
Who was the original lead singer of AC/DC?,Bon Scott
Who sang 'Dancing Queen'?,ABBA
What artist is known for the song 'Smooth Operator'?,Sade
Who is known as the 'King of Reggae'?,Bob Marley
What band had a hit with 'Another One Bites the Dust'?,Queen
Who is known for the hit 'Stayin' Alive'?,Bee Gees
What is the stage name of the artist born as Abel Tesfaye?,The Weeknd
Who performed the song 'Rolling in the Deep'?,Adele
What year did Maroon 5 release 'This Love'?,2004
Who was the first artist to reach 100 million followers on Twitter?,Katy Perry
What song by Pharrell Williams became an international hit in 2014?,Happy
Who is known for the song 'Valerie'?,Amy Winehouse
What is the real name of rapper Lil Wayne?,Dwayne Michael Carter Jr.
Which band released the song 'November Rain'?,Guns N' Roses
Who sang the song 'Genie in a Bottle'?,Christina Aguilera
What is the name of the singer who collaborated with Zedd on 'The Middle'?,Maren Morris
Who sang 'Born in the U.S.A.'?,Bruce Springsteen
What is the real name of the singer known as Bono?,Paul David Hewson
Who released the song 'My Heart Will Go On'?,Celine Dion
Which artist sang 'I Gotta Feeling'?,The Black Eyed Peas
Who is known for the song 'Take On Me'?,a-ha
What artist is famous for the song 'Hit Me Baby One More Time'?,Britney Spears
Who sang 'Time After Time'?,Cyndi Lauper
Who performed 'Purple Rain'?,Prince
What song did Elton John sing as a tribute to Princess Diana?,Candle in the Wind 1997
Who released the song 'Watermelon Sugar'?,Harry Styles
What band is known for the song 'Radioactive'?,Imagine Dragons
What year did Rihanna release 'Umbrella'?,2007
Who is the singer of the song 'Ironic'?,Alanis Morissette
What year did Nirvana's 'Nevermind' come out?,1991
Who sang 'Like a Virgin'?,Madonna
Who is the lead singer of Green Day?,Billie Joe Armstrong
Who performed the song 'Shallow'?,Lady Gaga and Bradley Cooper
What is the name of the rapper who collaborated with Eminem on 'Stan'?,Dido
Who sang 'A Thousand Miles'?,Vanessa Carlton
What was the debut single of Taylor Swift?,Tim McGraw
Who is known for the song 'All of Me'?,John Legend
Which artist had a hit with 'Fireflies'?,Owl City
Who released the album 'Hotel California'?,Eagles
Who sang 'Eye of the Tiger'?,Survivor
What band released the song 'Smells Like Teen Spirit'?,Nirvana
What year did Britney Spears release 'Oops!... I Did It Again'?,2000
Who performed the song 'Lean on Me'?,Bill Withers
What was the debut single of Katy Perry?,I Kissed a Girl
Who released the song 'Bohemian Like You'?,The Dandy Warhols
What artist is known for the song 'Shake It Out'?,Florence + The Machine
Who sang 'Born to Be Wild'?,Steppenwolf
Which artist released the hit 'Poker Face'?,Lady Gaga
What year did the song 'Gangsta's Paradise' by Coolio come out?,1995
Who is the lead singer of Pearl Jam?,Eddie Vedder
What song by The Weeknd spent 90 weeks on the Billboard Hot 100?,Blinding Lights
Who sang 'Don't Stop Me Now'?,Queen
What song did John Lennon write as an anthem for peace?,Imagine
Who performed 'Man! I Feel Like a Woman!'?,Shania Twain
Which artist had a hit with 'U Can't Touch This'?,MC Hammer
Who is known for the song 'Zombie'?,The Cranberries
What is the name of Beyoncé’s 2013 surprise album?,Beyoncé
Who sang the song 'Take On Me'?,a-ha
What was Whitney Houston's hit song in 'The Bodyguard'?,I Will Always Love You
What artist is known for the song 'The Middle'?,"Zedd, Maren Morris, and Grey"
Who released the song 'Toxic'?,Britney Spears
What year did The Beatles release 'Hey Jude'?,1968
Who performed 'My Heart Will Go On'?,Celine Dion
Which artist released the album 'Lemonade'?,Beyoncé
Who sang 'Dancing in the Moonlight'?,King Harvest
What band is known for the song 'Thunderstruck'?,AC/DC
What is the name of the band that released 'Wonderwall'?,Oasis
Who sang 'Uptown Funk'?,Mark Ronson featuring Bruno Mars
Which artist released 'All Star'?,Smash Mouth
What song by Bob Marley features the lyric 'Don't worry about a thing'?,Three Little Birds
Who performed the song 'I Want It That Way'?,Backstreet Boys
What year did Michael Jackson release 'Thriller'?,1982
Who released the song 'Blame It on the Boogie'?,The Jacksons
Which artist sang 'Bad Romance'?,Lady Gaga
What song features the lyric 'Is this the real life? Is this just fantasy?'?,Bohemian Rhapsody by Queen
Who sang 'Time After Time'?,Cyndi Lauper
What is the name of the artist known for 'Tiny Dancer'?,Elton John
Who is known for the song 'Shake It Off'?,Taylor Swift
What year did 'Billie Jean' by Michael Jackson come out?,1983
Who performed 'House of the Rising Sun'?,The Animals
Which artist is known for the song 'Superstition'?,Stevie Wonder
Who is the lead singer of Paramore?,Hayley Williams
Who sang 'Old Town Road'?,Lil Nas X
What band released the song 'Livin' on a Prayer'?,Bon Jovi
Who sang 'Let It Be'?,The Beatles
What year did Bob Dylan win the Nobel Prize in Literature?,2016
What artist is known for the song 'Roar'?,Katy Perry
Who performed 'Waterfalls'?,TLC
What is the title of Ed Sheeran's debut album?,+ (Plus)
Who sang 'Fast Car'?,Tracy Chapman
What year did Queen's 'We Are the Champions' come out?,1977
Who sang 'Ring of Fire'?,Johnny Cash
Which artist released 'WAP' in 2020?,Cardi B featuring Megan Thee Stallion
Who is known for the song 'Halo'?,Beyoncé
What year did Pink Floyd release 'The Wall'?,1979
Who performed 'Dream On'?,Aerosmith
What band is known for the song 'Hotel California'?,Eagles
Who sang 'Sweet Dreams (Are Made of This)'?,Eurythmics
What is the real name of rapper Ice Cube?,O'Shea Jackson
What song by The Clash features the lyric 'Should I stay or should I go'?,Should I Stay or Should I Go
Who performed 'Losing My Religion'?,R.E.M.
Which artist released the song 'Truth Hurts'?,Lizzo
Who is known for the song 'Stay with Me'?,Sam Smith
Who sang 'Ironic'?,Alanis Morissette
What is the real name of the artist known as The Edge from U2?,David Howell Evans
Who is known for the song 'Happy Together'?,The Turtles
What artist performed 'Hotline Bling'?,Drake
What year did the Bee Gees release 'Stayin' Alive'?,1977
Who sang 'The Gambler'?,Kenny Rogers
What band released the song 'Africa'?,Toto
What year did Rihanna release 'Diamonds'?,2012
Who performed 'What's Going On'?,Marvin Gaye
What year did The Beatles release 'Yesterday'?,1965
Who is known for the song 'Sorry'?,Justin Bieber
Who sang 'Super Freak'?,Rick James
Which artist performed 'Lady Marmalade'?,Labelle
Who sang 'La Bamba'?,Ritchie Valens
What is the real name of rapper Eminem?,Marshall Bruce Mathers III
Who sang 'Kiss from a Rose'?,Seal
What band released the album 'Nevermind'?,Nirvana
Who is known for the song 'Chandelier'?,Sia
What year did 'Eye of the Tiger' by Survivor come out?,1982
Who performed the song 'Wonderwall'?,Oasis
Which artist released 'Good as Hell'?,Lizzo
What band released the song 'Stairway to Heaven'?,Led Zeppelin
Who is known for the song 'Don't Stop Believin''?,Journey
What is the stage name of the artist born as Peter Gene Hernandez?,Bruno Mars
Who sang 'Total Eclipse of the Heart'?,Bonnie Tyler
What year did Madonna release 'Like a Prayer'?,1989
Who performed 'Mr. Brightside'?,The Killers
Who sang 'Somebody That I Used to Know'?,Gotye featuring Kimbra
What year did Queen release 'Don't Stop Me Now'?,1978
Who performed the song 'Isn't She Lovely'?,Stevie Wonder
Who is the lead singer of Red Hot Chili Peppers?,Anthony Kiedis
